followers_count,friends_count,Bot_or_Not
84406,430,0
1073472,8709,0
103,110,0
53,0,1
10,0,1
1835470,460,0
1013,33,0
1,0,1
1535,239,0
377,536,0
30457,454,0
76,1681,0
559,802,1
3,19,1
111,521,0
636,949,0
859,882,0
1368076,204,1
3912094,507,0
18,636,0
1898901,1043,0
0,0,1
23,319,1
25,34,1
154,303,0
1,0,0
1001,259,1
1828,1689,0
815909,397,0
611,2011,0
31,68,0
9,0,1
64,146,1
14,88,1
2952,401,0
948,931,1
280,1103,0
1289138,664,0
302,500,0
1812,947,0
755557,240,0
6561,44,0
544,478,1
358972,2061,0
88,0,1
9,55,1
1482265,367,0
408,620,0
1303194,958,0
772,1106,1
738,677,1
103,290,0
309,646,0
896181,785,0
18,0,1
591,637,1
0,0,0
167,243,0
195,206,1
8451,660,1
5,0,1
20,61,1
6,0,1
90,560,1
16,127,1
1396,1832,0
2999,3789,0
6,12,1
34,0,1
79,0,0
2436,1052,0
0,0,1
5,0,1
59,252,1
69871,5422,0
221,350,0
317,488,1
0,69,1
10,61,1
19,0,1
254,268,0
59,79,1
170,179,0
3388,41,1
0,0,0
66,972,1
146,746,0
2399,1244,0
93754,85437,0
4762,886,0
23,146,1
1,28,1
1766,789,0
167,384,0
128749,59572,1
22,67,1
449322,5041,0
752474,428,0
719135,1063,0
5103,37,0
92,33,0
1,0,1
1339449,74,0
40,319,0
15721,93,0
1120276,31,0
495,459,0
293,546,1
2498,2494,0
2549,4978,0
72802,773,0
2000891,0,0
240,197,0
350,1775,0
75,390,0
449,0,0
110387,47896,1
1538280,580,0
10,64,1
11,10,0
1432452,1031,0
0,0,0
1076,873,0
74,866,1
456,443,0
574,1210,0
1926,793,0
298889,226,0
3030,722,0
3430108,502,0
12752076,229,0
13,80,1
2724,2638,0
1747,1762,0
33384,10966,0
2,0,1
461,293,0
9817,106,0
17,61,1
2793744,750,0
77,335,0
49,306,1
9217,2037,1
563609,952,0
17,58,0
51,432,0
5,0,1
152,226,0
7,25,1
8637189,50,0
184,129,1
